n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
36,176,0.2794,5.403163,0.299654,6.5955080877,6.7418032487,3.6584605043,4.4903076921,5.1506940121,0,0
36,177,0.2810,5.390214,0.276166,6.613990961,6.9071229848,3.7945569397,4.7610710976,5.0323596726,0,0
36,178,0.2825,5.736943,0.196718,6.6943108386,6.9312548434,3.7778745021,4.7375780146,5.4286267027,0,0
36,179,0.2841,5.569089,0.158362,6.7576326012,6.9853032509,3.7593898281,4.4636311642,5.060669478,0,0
36,180,0.2857,5.792207,0.254749,6.8167806168,7.0428581281,3.4106739266,4.791286499,5.8551643573,0,0
36,181,0.2873,5.676918,0.099417,6.8334566588,7.1278261521,3.4481487837,4.7710874436,6.0357039448,0,0
36,182,0.2889,5.714354,0.320311,6.9255245184,7.1496543881,3.4006475527,4.9692834094,5.5430044275,0,0
36,183,0.2905,5.736266,0.242953,6.9604301172,7.2400470482,3.4785043869,4.7288395584,5.4912237918,0,0
36,184,0.2921,5.921572,0.063451,7.0100540563,7.3355530655,3.5850424623,4.8723700938,5.7788330448,0,0
36,185,0.2937,5.837451,0.118819,7.0381293231,7.3384707075,3.4051327311,4.9653735505,5.7826447688,0,0
36,186,0.2952,5.792807,0.205379,7.1242196043,7.3660492835,3.8693784059,4.8099064939,5.3397466119,0,0
36,187,0.2968,6.043912,0.182707,7.1523696691,7.3661678578,3.7301037627,4.6918817115,6.0546039289,0,0
36,188,0.2984,6.018627,0.309594,7.2862907418,7.4024114825,3.4665517187,4.7412878635,5.9904125137,0,0
36,189,0.3000,6.031099,0.461918,7.3117734836,7.5167532689,3.5501084632,5.1766198402,5.8467895267,0,0
36,190,0.3016,5.995441,0.266556,7.3633599354,7.5795907581,3.8868884221,5.3835542637,5.8544797184,0,0
36,191,0.3032,6.082954,0.337864,7.4140662087,7.5872468801,3.9161666749,5.2301372552,5.5812279918,0,0
36,192,0.3048,6.305357,0.317991,7.4560464068,7.5891129072,3.7821827045,4.7909806768,6.4993619533,0,0
36,193,0.3063,6.252143,0.290441,7.5075949035,7.6324417132,3.9237779222,5.6734681268,5.5500588684,0,0
36,194,0.3079,6.468723,0.151214,7.5333501956,7.6714038561,4.0460983735,5.247746801,6.0081889874,0,0
36,195,0.3095,6.474633,0.274547,7.5882715524,7.68096348,3.9654592376,5.3641676098,5.953298241,0,0
36,196,0.3111,6.498842,0.176703,7.6760160686,7.7531206105,4.1037548982,5.7537726157,5.4682814609,0,0
36,197,0.3127,6.491767,0.157164,7.6827710832,7.8152738769,4.1151488196,5.6036880604,5.9029620598,0,0
36,198,0.3143,6.480790,0.519173,7.7565519362,7.8522489869,4.2958235454,5.2394447798,6.4424235029,0,0
36,199,0.3159,6.538750,0.158046,7.8292852359,7.8877645317,3.9409290392,5.4300069203,5.9866105453,0,0
36,200,0.3175,6.462826,0.700022,7.8735251786,7.8922086401,4.4108796497,5.4907094687,5.9271575689,0,0
36,201,0.3190,6.434173,0.319701,7.9891907103,7.9215922397,4.5744895535,5.6932404485,6.4507503589,0,0
36,202,0.3206,6.382784,0.339981,8.0205180784,8.0007338037,4.4600495049,5.6253441293,5.5252872443,0,0
36,203,0.3222,6.548307,0.366399,8.0516997666,8.0437281642,4.4347479033,5.7051038266,5.6090186764,0,0
36,204,0.3238,6.632578,0.359338,8.0796407669,8.0457275069,4.5343012236,6.2579598626,6.3552234278,0,0
36,205,0.3254,6.860860,0.329436,8.1602559241,8.2037421305,4.6905313462,6.1446336829,6.2956485587,0,0
36,206,0.3270,7.045112,0.109936,8.2286700069,8.2107433028,4.9247059356,5.90029596,6.5289062058,0,0
36,207,0.3286,6.869452,0.249026,8.2418936172,8.3104063452,4.718187655,5.9521488189,7.3934932657,0,0
36,208,0.3302,6.911506,0.325528,8.3159131971,8.4330451549,4.7409586665,5.7923551603,6.0375652617,0,0
36,209,0.3317,7.031236,0.275419,8.3797209876,8.4334894732,4.6903334135,5.9723840405,6.6178787361,0,0
36,210,0.3333,6.785060,0.324545,8.4096681056,8.4605274363,4.866200797,6.2443860234,6.3077587112,0,0
36,211,0.3349,7.260479,0.373725,8.4533084515,8.4642414826,5.107551646,6.2669746916,6.0072153859,0,0
36,212,0.3365,7.036865,0.348772,8.492219226,8.4879907986,4.7995245188,6.4996000034,7.2619244161,0,0
36,213,0.3381,7.272102,0.111821,8.5386820854,8.4984334572,4.8558339938,6.4449641956,6.1786898884,0,0
36,214,0.3397,7.292386,0.292254,8.6151649849,8.5968126134,4.8344568519,5.7123746418,7.1077802119,0,0
36,215,0.3413,7.453317,0.261536,8.6463267738,8.6189152523,5.3097138942,6.0643047428,7.136336338,0,0
